date,time,code,open,high,low,close,volume,amount,adjustflag
2023-06-07,20230607100000000,sz.000023,6.3000,6.3800,6.3000,6.3600,243100,1542996.0000,3
2023-06-07,20230607133000000,sz.000023,6.4800,6.5400,6.4800,6.5100,180200,1172056.0000,3
2023-06-08,20230608100000000,sz.000023,6.4800,6.5300,6.4200,6.4500,169700,1095166.0000,3
2023-06-08,20230608133000000,sz.000023,6.4500,6.4800,6.4300,6.4800,54100,349447.0000,3
2023-06-09,20230609100000000,sz.000023,6.4200,6.4900,6.4100,6.4600,149500,964310.0000,3
2023-06-09,20230609133000000,sz.000023,6.3600,6.3600,6.3100,6.3100,6700,42406.0000,3
2023-06-12,20230612100000000,sz.000023,6.4000,6.4000,6.1700,6.2100,273900,1712751.0000,3
2023-06-12,20230612133000000,sz.000023,6.2400,6.2800,6.2300,6.2800,167000,1043277.0000,3
2023-06-13,20230613100000000,sz.000023,6.2000,6.3500,6.2000,6.3500,168100,1056986.0000,3
2023-06-13,20230613133000000,sz.000023,6.3500,6.3600,6.3400,6.3400,34000,215852.0000,3
2023-06-14,20230614100000000,sz.000023,6.3200,6.3300,6.2200,6.2900,150800,949004.0000,3
2023-06-14,20230614133000000,sz.000023,6.3300,6.3700,6.3200,6.3700,90300,572989.0000,3
2023-06-15,20230615100000000,sz.000023,6.3500,6.3500,6.3000,6.3100,121800,769860.0000,3
2023-06-15,20230615133000000,sz.000023,6.3200,6.3500,6.3200,6.3400,77300,490046.0000,3
2023-06-16,20230616100000000,sz.000023,6.3100,6.3700,6.3000,6.3700,108017,684616.0000,3
2023-06-16,20230616133000000,sz.000023,6.4100,6.4200,6.3900,6.3900,46400,297281.0000,3
2023-06-19,20230619100000000,sz.000023,6.3700,6.3700,6.2700,6.2900,346000,2181562.0000,3
2023-06-19,20230619133000000,sz.000023,6.2700,6.2700,6.2400,6.2700,192200,1204119.0000,3
2023-06-20,20230620100000000,sz.000023,6.2700,6.2800,6.0900,6.0900,662500,4073364.0000,3
2023-06-20,20230620133000000,sz.000023,6.0300,6.0500,6.0100,6.0200,84900,511795.0000,3
2023-06-21,20230621100000000,sz.000023,5.9400,6.0800,5.9200,6.0600,390700,2353411.0000,3
2023-06-21,20230621133000000,sz.000023,6.0300,6.0400,5.9600,5.9800,96800,580587.0000,3
2023-06-26,20230626100000000,sz.000023,5.9400,6.0900,5.9300,6.0500,414300,2499840.0000,3
2023-06-26,20230626133000000,sz.000023,6.0400,6.0700,6.0400,6.0700,155300,941634.0000,3
2023-06-27,20230627100000000,sz.000023,6.1000,6.4100,6.1000,6.4100,1741077,11094663.0000,3
2023-06-27,20230627133000000,sz.000023,6.4100,6.4100,6.4100,6.4100,38000,243580.0000,3
2023-06-28,20230628100000000,sz.000023,6.4400,6.5700,6.3200,6.3700,1388400,8946403.0000,3
2023-06-28,20230628133000000,sz.000023,6.4500,6.4700,6.4000,6.4000,55800,358956.0000,3
2023-06-29,20230629100000000,sz.000023,6.4600,6.7600,6.4600,6.7000,641400,4228271.0000,3
2023-06-29,20230629133000000,sz.000023,6.5700,6.6000,6.5600,6.6000,86800,569803.0000,3
2023-06-30,20230630100000000,sz.000023,6.5200,6.6200,6.4500,6.6000,615700,4032920.0000,3
2023-06-30,20230630133000000,sz.000023,6.6600,6.6800,6.6300,6.6500,90500,601754.0000,3
2023-07-03,20230703100000000,sz.000023,6.6100,6.7100,6.6100,6.6600,581000,3868337.0000,3
2023-07-03,20230703133000000,sz.000023,6.6800,6.7100,6.6800,6.7000,174000,1164485.0000,3
2023-07-04,20230704100000000,sz.000023,6.7400,6.8100,6.6600,6.8100,410500,2778656.0000,3
2023-07-04,20230704133000000,sz.000023,6.8400,6.8400,6.7700,6.7700,129100,879560.0000,3
2023-07-05,20230705100000000,sz.000023,6.8000,6.8200,6.7400,6.8200,283900,1926908.0000,3
2023-07-05,20230705133000000,sz.000023,6.7800,6.7800,6.7600,6.7700,100400,679724.0000,3
2023-07-06,20230706100000000,sz.000023,6.9900,6.9900,6.7500,6.7600,545300,3735455.0000,3
2023-07-06,20230706133000000,sz.000023,6.7600,6.7700,6.7300,6.7400,87500,590376.0000,3
2023-07-07,20230707100000000,sz.000023,6.6800,6.7600,6.6800,6.7200,297800,1997644.0000,3
2023-07-07,20230707133000000,sz.000023,6.6900,6.7000,6.6600,6.6800,96200,641738.0000,3
2023-07-10,20230710100000000,sz.000023,6.7700,6.9000,6.6100,6.6100,587200,3924470.0000,3
2023-07-10,20230710133000000,sz.000023,6.6100,6.6300,6.6000,6.6000,108500,717119.0000,3
2023-07-11,20230711100000000,sz.000023,6.6300,6.6300,6.5600,6.6000,130400,858990.0000,3
2023-07-11,20230711133000000,sz.000023,6.6100,6.6200,6.6000,6.6100,26400,174618.0000,3
2023-07-12,20230712100000000,sz.000023,6.6600,6.6700,6.6100,6.6300,292123,1938597.2600,3
2023-07-12,20230712133000000,sz.000023,6.6100,6.6100,6.5900,6.6000,91500,603810.0000,3
2023-07-13,20230713100000000,sz.000023,6.5300,6.5800,6.5200,6.5500,264323,1728123.1900,3
2023-07-13,20230713133000000,sz.000023,6.5200,6.5300,6.5200,6.5300,32500,212165.0000,3
2023-07-14,20230714100000000,sz.000023,6.5800,6.5800,6.5400,6.5700,142400,933844.0000,3
2023-07-14,20230714133000000,sz.000023,6.5800,6.5900,6.5700,6.5800,53300,350822.0000,3
2023-07-17,20230717100000000,sz.000023,6.5700,6.5700,6.4200,6.5500,181600,1173693.0000,3
2023-07-17,20230717133000000,sz.000023,6.5000,6.5000,6.4200,6.4800,87700,565942.0000,3
2023-07-18,20230718100000000,sz.000023,6.4600,6.4900,6.4200,6.4400,262400,1690916.0000,3
2023-07-18,20230718133000000,sz.000023,6.4400,6.5000,6.4400,6.4800,193000,1247523.0000,3
2023-07-19,20230719100000000,sz.000023,6.4800,6.5100,6.4600,6.4800,176500,1145305.0000,3
2023-07-19,20230719133000000,sz.000023,6.3600,6.4000,6.3300,6.3700,139300,886343.0000,3
2023-07-20,20230720100000000,sz.000023,6.3900,6.4000,6.3500,6.3600,202500,1290494.0000,3
2023-07-20,20230720133000000,sz.000023,6.3800,6.4100,6.3800,6.4000,88900,568673.0000,3
2023-07-21,20230721100000000,sz.000023,6.3800,6.4000,6.3200,6.3400,176600,1119481.0000,3
2023-07-21,20230721133000000,sz.000023,6.2800,6.2900,6.2700,6.2900,14500,91063.0000,3
2023-07-24,20230724100000000,sz.000023,6.3100,6.5000,6.3100,6.4200,767000,4913613.0000,3
2023-07-24,20230724133000000,sz.000023,6.3800,6.4100,6.3400,6.3500,144900,921799.0000,3
2023-07-25,20230725100000000,sz.000023,6.4500,6.5300,6.4200,6.4900,525200,3405986.0000,3
2023-07-25,20230725133000000,sz.000023,6.4800,6.5000,6.4700,6.4900,84900,550645.0000,3
2023-07-26,20230726100000000,sz.000023,6.5000,6.5900,6.4600,6.5000,380000,2477458.0000,3
2023-07-26,20230726133000000,sz.000023,6.5100,6.5300,6.5000,6.5300,138200,900831.0000,3
2023-07-27,20230727100000000,sz.000023,6.5300,6.5300,6.4900,6.5200,313977,2043420.7300,3
2023-07-27,20230727133000000,sz.000023,6.5300,6.5400,6.5100,6.5200,64800,422928.0000,3
2023-07-28,20230728100000000,sz.000023,6.5100,6.5100,6.4500,6.4600,194400,1259661.0000,3
2023-07-28,20230728133000000,sz.000023,6.5100,6.5500,6.5000,6.5200,176700,1153756.0000,3
2023-07-31,20230731100000000,sz.000023,6.5300,6.5300,6.4600,6.5000,689600,4475651.0000,3
2023-07-31,20230731133000000,sz.000023,6.7400,6.8300,6.7000,6.7400,524500,3550770.0000,3
2023-08-01,20230801100000000,sz.000023,6.6500,6.7400,6.6300,6.6900,328000,2193523.0000,3
2023-08-01,20230801133000000,sz.000023,6.6500,6.6600,6.6300,6.6300,46500,309135.0000,3
2023-08-02,20230802100000000,sz.000023,6.7000,6.7100,6.6600,6.6900,251900,1684711.0000,3
2023-08-02,20230802133000000,sz.000023,6.6400,6.6500,6.6200,6.6300,88100,584801.0000,3
2023-08-03,20230803100000000,sz.000023,6.6000,6.6100,6.4600,6.4900,1058701,6916690.4000,3
2023-08-03,20230803133000000,sz.000023,6.5700,6.6200,6.5700,6.5800,156100,1029737.0000,3
2023-08-04,20230804100000000,sz.000023,6.5700,6.6300,6.5700,6.6000,222000,1464907.0000,3
2023-08-04,20230804133000000,sz.000023,6.5700,6.6300,6.5700,6.6200,70600,466597.0000,3
2023-08-07,20230807100000000,sz.000023,6.5900,6.6700,6.5400,6.5600,180600,1192206.0000,3
2023-08-07,20230807133000000,sz.000023,6.5500,6.5500,6.5100,6.5300,92799,605581.4600,3
2023-08-08,20230808100000000,sz.000023,6.4900,6.5000,6.4400,6.4400,236000,1524544.0000,3
2023-08-08,20230808133000000,sz.000023,6.4800,6.4900,6.4700,6.4900,10700,69367.0000,3
2023-08-09,20230809100000000,sz.000023,6.5000,6.5000,6.4200,6.4600,31500,203511.0000,3
2023-08-09,20230809133000000,sz.000023,6.4700,6.4800,6.4300,6.4700,95000,612784.0000,3
2023-08-10,20230810100000000,sz.000023,6.4500,6.5500,6.4300,6.4800,148600,961026.0000,3
2023-08-10,20230810133000000,sz.000023,6.5100,6.5300,6.5100,6.5200,102300,666536.0000,3
2023-08-11,20230811100000000,sz.000023,6.5400,6.6500,6.5400,6.5700,693800,4575344.0000,3
2023-08-11,20230811133000000,sz.000023,6.5300,6.5500,6.5300,6.5400,43400,283996.0000,3
2023-08-14,20230814100000000,sz.000023,6.4000,6.4000,6.2900,6.3800,592300,3750994.0000,3
2023-08-14,20230814133000000,sz.000023,6.3600,6.3700,6.3400,6.3600,171400,1087745.0000,3
2023-08-15,20230815100000000,sz.000023,6.4200,6.5300,6.4200,6.5100,321100,2078666.0000,3
2023-08-15,20230815133000000,sz.000023,6.5300,6.5300,6.4900,6.4900,160600,1044944.0000,3
2023-08-16,20230816100000000,sz.000023,6.4900,6.5800,6.4800,6.5700,272500,1781452.0000,3
2023-08-16,20230816133000000,sz.000023,6.6700,6.6900,6.6200,6.6300,204900,1361437.0000,3
2023-08-17,20230817100000000,sz.000023,6.6300,6.6300,6.5200,6.5600,521400,3420883.0000,3
2023-08-17,20230817133000000,sz.000023,6.6500,6.6600,6.6300,6.6500,150500,1000237.0000,3
